test_id,node,test_category,test_description,test,result,failure_reason
43,EAPI-LEAF2B,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_EAPI-SPINE2_Ethernet4,PASS
44,EAPI-LEAF2B,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet3 - MLAG_PEER_EAPI-LEAF2A_Ethernet3,PASS
45,EAPI-LEAF2B,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet4 - MLAG_PEER_EAPI-LEAF2A_Ethernet4,PASS
46,EAPI-LEAF2B,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet5 - EAPI-AGG02_Ethernet2,PASS
47,EAPI-LEAF3A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_EAPI-SPINE1_Ethernet7,PASS
48,EAPI-LEAF3A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_EAPI-SPINE2_Ethernet7,PASS
49,EAPI-LEAF3A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet5 - SRV-POD03_Eth1,PASS
50,EAPI-LEAF4A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_EAPI-SPINE1_Ethernet8,PASS
51,EAPI-LEAF4A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_EAPI-SPINE2_Ethernet8,PASS
52,EAPI-LEAF4A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet5 - SRV-POD03_Eth2,PASS
53,EAPI-SPINE1,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_EAPI-BL01A_Ethernet1,PASS
54,EAPI-SPINE1,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet6 - P2P_LINK_TO_EAPI-BL01B_Ethernet1,PASS
55,EAPI-SPINE1,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_EAPI-LEAF1A_Ethernet1,PASS
56,EAPI-SPINE1,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_EAPI-LEAF1B_Ethernet1,PASS
57,EAPI-SPINE1,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_EAPI-LEAF2A_Ethernet1,PASS
58,EAPI-SPINE1,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_EAPI-LEAF2B_Ethernet1,PASS
59,EAPI-SPINE1,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet7 - P2P_LINK_TO_EAPI-LEAF3A_Ethernet1,PASS
60,EAPI-SPINE1,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet8 - P2P_LINK_TO_EAPI-LEAF4A_Ethernet1,PASS
61,EAPI-SPINE2,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_EAPI-BL01A_Ethernet2,PASS
62,EAPI-SPINE2,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet6 - P2P_LINK_TO_EAPI-BL01B_Ethernet2,PASS
63,EAPI-SPINE2,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_EAPI-LEAF1A_Ethernet2,PASS
64,EAPI-SPINE2,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_EAPI-LEAF1B_Ethernet2,PASS
65,EAPI-SPINE2,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_EAPI-LEAF2A_Ethernet2,PASS
66,EAPI-SPINE2,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_EAPI-LEAF2B_Ethernet2,PASS
