Type, Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,EAPI-BL01A,Ethernet1,172.31.255.25/31,spine,EAPI-SPINE1,Ethernet5,172.31.255.24/31
l3leaf,EAPI-BL01A,Ethernet2,172.31.255.27/31,spine,EAPI-SPINE2,Ethernet5,172.31.255.26/31
l3leaf,EAPI-BL01B,Ethernet1,172.31.255.29/31,spine,EAPI-SPINE1,Ethernet6,172.31.255.28/31
l3leaf,EAPI-BL01B,Ethernet2,172.31.255.31/31,spine,EAPI-SPINE2,Ethernet6,172.31.255.30/31
l3leaf,EAPI-CL01A,Ethernet1,172.31.255.33/31,spine,EAPI-SPINE1,Ethernet9,172.31.255.32/31
l3leaf,EAPI-CL01A,Ethernet2,172.31.255.35/31,spine,EAPI-SPINE2,Ethernet9,172.31.255.34/31
l3leaf,EAPI-CL01B,Ethernet1,172.31.255.37/31,spine,EAPI-SPINE1,Ethernet10,172.31.255.36/31
l3leaf,EAPI-CL01B,Ethernet2,172.31.255.39/31,spine,EAPI-SPINE2,Ethernet10,172.31.255.38/31
l2leaf,EAPI-L2LEAF01,Ethernet1,172.31.251.1/31,spine,EAPI-SPINE1,Ethernet11,172.31.251.0/31
l2leaf,EAPI-L2LEAF01,Ethernet2,172.31.251.3/31,spine,EAPI-SPINE2,Ethernet11,172.31.251.2/31
l2leaf,EAPI-L2LEAF02,Ethernet1,172.31.251.5/31,spine,EAPI-SPINE1,Ethernet12,172.31.251.4/31
l2leaf,EAPI-L2LEAF02,Ethernet2,172.31.251.7/31,spine,EAPI-SPINE2,Ethernet12,172.31.251.6/31
l3leaf,EAPI-LEAF1A,Ethernet1,172.31.255.1/31,spine,EAPI-SPINE1,Ethernet1,172.31.255.0/31
l3leaf,EAPI-LEAF1A,Ethernet2,172.31.255.3/31,spine,EAPI-SPINE2,Ethernet1,172.31.255.2/31
l3leaf,EAPI-LEAF1B,Ethernet1,172.31.255.5/31,spine,EAPI-SPINE1,Ethernet2,172.31.255.4/31
l3leaf,EAPI-LEAF1B,Ethernet2,172.31.255.7/31,spine,EAPI-SPINE2,Ethernet2,172.31.255.6/31
l3leaf,EAPI-LEAF2A,Ethernet1,172.31.255.9/31,spine,EAPI-SPINE1,Ethernet3,172.31.255.8/31
l3leaf,EAPI-LEAF2A,Ethernet2,172.31.255.11/31,spine,EAPI-SPINE2,Ethernet3,172.31.255.10/31
l3leaf,EAPI-LEAF2B,Ethernet1,172.31.255.13/31,spine,EAPI-SPINE1,Ethernet4,172.31.255.12/31
l3leaf,EAPI-LEAF2B,Ethernet2,172.31.255.15/31,spine,EAPI-SPINE2,Ethernet4,172.31.255.14/31
l3leaf,EAPI-LEAF3A,Ethernet1,172.31.255.17/31,spine,EAPI-SPINE1,Ethernet7,172.31.255.16/31
l3leaf,EAPI-LEAF3A,Ethernet2,172.31.255.19/31,spine,EAPI-SPINE2,Ethernet7,172.31.255.18/31
l3leaf,EAPI-LEAF4A,Ethernet1,172.31.255.21/31,spine,EAPI-SPINE1,Ethernet8,172.31.255.20/31
l3leaf,EAPI-LEAF4A,Ethernet2,172.31.255.23/31,spine,EAPI-SPINE2,Ethernet8,172.31.255.22/31
