Vxlan Mac Address Table
----------------------------------------------------------------------

VLAN  Mac Address     Type      Prt  VTEP             Moves   Last Move
----  -----------     ----      ---  ----             -----   ---------
1196  0e1d.c0a3.43e0  EVPN      Vx1  192.168.254.5    1       0:07:05 ago
1196  0e1d.c0f0.bdd1  EVPN      Vx1  192.168.254.3    1       0:07:05 ago
1197  0c1d.c0d2.9e98  EVPN      Vx1  192.168.254.8    1       0:07:05 ago
1197  0c1d.c0e4.777b  EVPN      Vx1  192.168.254.7    1       0:07:05 ago
1197  0e1d.c025.6541  EVPN      Vx1  192.168.254.9    1       0:07:05 ago
1197  0e1d.c0a3.43e0  EVPN      Vx1  192.168.254.5    1       0:07:05 ago
1197  0e1d.c0f0.bdd1  EVPN      Vx1  192.168.254.3    1       0:07:05 ago
Total Remote Mac Addresses for this criterion: 7
