Node Type,Node,Node Interface,Peer Type,Peer,Peer Interface
l3leaf,EAPI-LEAF1A,Ethernet1,spine,EAPI-SPINE1,Ethernet1
l3leaf,EAPI-LEAF1A,Ethernet2,spine,EAPI-SPINE2,Ethernet1
l3leaf,EAPI-LEAF1A,Ethernet3,mlag_peer,EAPI-LEAF1B,Ethernet3
l3leaf,EAPI-LEAF1A,Ethernet4,mlag_peer,EAPI-LEAF1B,Ethernet4
l3leaf,EAPI-LEAF1A,Ethernet5,edge,EAPI-AGG01,Ethernet1
l3leaf,EAPI-LEAF1B,Ethernet1,spine,EAPI-SPINE1,Ethernet2
l3leaf,EAPI-LEAF1B,Ethernet2,spine,EAPI-SPINE2,Ethernet2
l3leaf,EAPI-LEAF1B,Ethernet3,mlag_peer,EAPI-LEAF1A,Ethernet3
l3leaf,EAPI-LEAF1B,Ethernet4,mlag_peer,EAPI-LEAF1A,Ethernet4
l3leaf,EAPI-LEAF1B,Ethernet5,edge,EAPI-AGG01,Ethernet2
l3leaf,EAPI-LEAF2A,Ethernet1,spine,EAPI-SPINE1,Ethernet3
l3leaf,EAPI-LEAF2A,Ethernet2,spine,EAPI-SPINE2,Ethernet3
l3leaf,EAPI-LEAF2A,Ethernet3,mlag_peer,EAPI-LEAF2B,Ethernet3
l3leaf,EAPI-LEAF2A,Ethernet4,mlag_peer,EAPI-LEAF2B,Ethernet4
l3leaf,EAPI-LEAF2A,Ethernet5,edge,EAPI-AGG02,Ethernet1
l3leaf,EAPI-LEAF2B,Ethernet1,spine,EAPI-SPINE1,Ethernet4
l3leaf,EAPI-LEAF2B,Ethernet2,spine,EAPI-SPINE2,Ethernet4
l3leaf,EAPI-LEAF2B,Ethernet3,mlag_peer,EAPI-LEAF2A,Ethernet3
l3leaf,EAPI-LEAF2B,Ethernet4,mlag_peer,EAPI-LEAF2A,Ethernet4
l3leaf,EAPI-LEAF2B,Ethernet5,edge,EAPI-AGG02,Ethernet2
l3leaf,EAPI-LEAF3A,Ethernet1,spine,EAPI-SPINE1,Ethernet7
l3leaf,EAPI-LEAF3A,Ethernet2,spine,EAPI-SPINE2,Ethernet7
l3leaf,EAPI-LEAF3A,Ethernet5,server,SRV-POD03,Eth1
l3leaf,EAPI-LEAF4A,Ethernet1,spine,EAPI-SPINE1,Ethernet8
l3leaf,EAPI-LEAF4A,Ethernet2,spine,EAPI-SPINE2,Ethernet8
l3leaf,EAPI-LEAF4A,Ethernet5,server,SRV-POD03,Eth2
route_server,EAPI-RS01,Ethernet1,spine,EAPI-SPINE1,Ethernet13
route_server,EAPI-RS02,Ethernet1,spine,EAPI-SPINE2,Ethernet13
spine,EAPI-SPINE1,Ethernet1,l3leaf,EAPI-LEAF1A,Ethernet1
spine,EAPI-SPINE1,Ethernet2,l3leaf,EAPI-LEAF1B,Ethernet1
spine,EAPI-SPINE1,Ethernet3,l3leaf,EAPI-LEAF2A,Ethernet1
spine,EAPI-SPINE1,Ethernet4,l3leaf,EAPI-LEAF2B,Ethernet1
spine,EAPI-SPINE1,Ethernet5,l3leaf,EAPI-BL01A,Ethernet1
spine,EAPI-SPINE1,Ethernet6,l3leaf,EAPI-BL01B,Ethernet1
spine,EAPI-SPINE1,Ethernet7,l3leaf,EAPI-LEAF3A,Ethernet1
spine,EAPI-SPINE1,Ethernet8,l3leaf,EAPI-LEAF4A,Ethernet1
spine,EAPI-SPINE1,Ethernet9,l3leaf,EAPI-CL01A,Ethernet1
spine,EAPI-SPINE1,Ethernet10,l3leaf,EAPI-CL01B,Ethernet1
spine,EAPI-SPINE1,Ethernet11,l2leaf,EAPI-L2LEAF01,Ethernet1
spine,EAPI-SPINE1,Ethernet12,l2leaf,EAPI-L2LEAF02,Ethernet1
spine,EAPI-SPINE1,Ethernet13,route_server,EAPI-RS01,Ethernet1
spine,EAPI-SPINE2,Ethernet1,l3leaf,EAPI-LEAF1A,Ethernet2
spine,EAPI-SPINE2,Ethernet2,l3leaf,EAPI-LEAF1B,Ethernet2
spine,EAPI-SPINE2,Ethernet3,l3leaf,EAPI-LEAF2A,Ethernet2
spine,EAPI-SPINE2,Ethernet4,l3leaf,EAPI-LEAF2B,Ethernet2
spine,EAPI-SPINE2,Ethernet5,l3leaf,EAPI-BL01A,Ethernet2
spine,EAPI-SPINE2,Ethernet6,l3leaf,EAPI-BL01B,Ethernet2
spine,EAPI-SPINE2,Ethernet7,l3leaf,EAPI-LEAF3A,Ethernet2
spine,EAPI-SPINE2,Ethernet8,l3leaf,EAPI-LEAF4A,Ethernet2
spine,EAPI-SPINE2,Ethernet9,l3leaf,EAPI-CL01A,Ethernet2
spine,EAPI-SPINE2,Ethernet10,l3leaf,EAPI-CL01B,Ethernet2
spine,EAPI-SPINE2,Ethernet11,l2leaf,EAPI-L2LEAF01,Ethernet2
spine,EAPI-SPINE2,Ethernet12,l2leaf,EAPI-L2LEAF02,Ethernet2
spine,EAPI-SPINE2,Ethernet13,route_server,EAPI-RS02,Ethernet1
